Index,Name,Z_Classification,Subgroup_2,Subgroup_3,Subgroup_4,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,total amount
 ZB5K762-10, BODE safety gloves nylon/spandex nitrile coated microfoam gray/black 10, N, HAND PROTECTION, GLOVES, COATED NITRILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,295,214,523
 ZB5K336-XL, EXTER warning softshell jacket orange XL (54), C, BODY PROTECTION, WARNING CLOTHING, JACKET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,1,1,1,8,7,21,2,1,16,13,37,85,25,2,47,7,22,33,12,4,4,41,30,5,2,2,46,14,8,9,2,0,6,1,536
 ZB5K307-3XL, FABIAN protective sweatshirt dark gray 3XL (58), C, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE SWEATSHIRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,32,43,12,84,19,66,18,6,1,0,0,0,29,14,0,25,2,0,0,0,0,2,4,7,56,18,12,26,1,523
 ZB5K248-L, TANGER rain jacket navy blue/blue L (52), C, BODY PROTECTION, CLOTHES, JACKET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,29,6,61,36,16,13,8,25,42,63,9,26,9,11,8,5,4,6,4,9,7,18,1,18,0,0,1,8,518
 ZB5K311-3XL, FABIAN protective overalls light gray 3XL (58), D, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE Dungarees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,14,27,0,1,23,28,5,0,1,5,39,4,11,219,0,0,2,6,13,1,21,7,14,54,16,14,2,5,0,539
 ZB5K517-46, ZORGE high safety boots S1P SRC black 46, A, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,13,13,0,0,0,1,30,28,11,14,5,9,87,43,16,11,4,6,16,37,66,9,19,9,5,19,14,4,7,9,16,2,535
 ZB5K415-M, TOBIAS cotton polo green M (50), C, BODY PROTECTION, CLOTHES, POLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,41,6,47,23,64,2,5,1,21,6,5,75,18,5,0,2,0,0,5,4,15,7,26,15,66,0,55,5,528
 ZB5K331-M, OKER insulated warning jacket orange M (50), B, BODY PROTECTION, WARNING CLOTHING, JACKET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,27,21,12,11,0,0,1,0,40,26,97,56,6,16,5,0,0,0,0,0,0,2,7,54,49,16,21,14,6,1,4,0,2,2,1,528
 ZB5K336-L, EXTER warning softshell jacket orange L (52), C, BODY PROTECTION, WARNING CLOTHING, JACKET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,6,2,0,9,4,11,6,0,19,19,51,60,16,8,57,9,13,32,13,4,2,43,19,1,6,1,42,26,6,12,0,1,6,1,529
 ZB5K255-S,BIESE softshell jacket navy blue S (48), A, BODY PROTECTION, CLOTHES, JACKET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,2,2,4,4,16,0,4,0,1,26,18,19,15,22,12,26,6,20,15,6,2,7,64,29,46,6,1,12,37,20,12,0,0,23,0,509
 ZB5K571-41, BERKEL safety shoes S1P SRC black/orange 41, A, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,16,7,1,5,16,4,36,37,12,13,35,9,5,9,4,4,4,7,33,42,41,16,26,11,25,25,20,11,6,5,4,508
 ZB5K337-L, TRAUN warning softshell trousers yellow L (52), B, BODY PROTECTION, WARNING CLOTHING, PANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,14,6,4,15,1,9,1,2,16,16,21,47,8,19,13,29,7,4,4,2,11,62,60,35,36,8,21,9,1,0,0,0,5,1,510
 ZB5K900-L, NISTER technical sweatshirt gray melange/blue L, N, BODY PROTECTION, CLOTHES, HOODIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,140,103,61,60,80,6,517
 ZB5K755-11, GLAN nitrile-coated protective gloves white/gray (12 pairs/pack) 11, N, HAND PROTECTION, GLOVES, COATED NITRILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,242,59,5,23,92,66,503
 ZB5K521-42, HOSEL SB SRA safety shoes navy blue/blue 42, B, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,6,12,14,9,35,11,14,18,9,6,54,11,14,29,11,20,34,14,8,20,14,18,39,13,16,19,11,7,503
 ZB5K419-2XL, URFT cotton polo dark green 2XL (56), D, BODY PROTECTION, CLOTHES, POLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,26,9,5,0,19,5,2,1,23,32,15,9,15,1,6,73,4,2,12,5,25,1,11,20,99,1,2,1,9,0,1,6,9,2,2,20,6,4,4,0,519
 ZB5K312-3XL, FABIAN safety pants light gray 3XL (58), D, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE TROUSERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,19,27,0,20,19,51,2,0,5,26,22,9,11,192,1,0,0,13,9,0,22,0,11,57,6,11,0,1,0,548
 ZB5K400-2XL, SEEVE polyester T-shirt blue 2XL (56), D, BODY PROTECTION, CLOTHES, T-SHIRT,0,0,0,0,0,131,5,15,1,1,1,0,1,5,0,0,20,36,12,6,0,0,2,4,0,0,1,0,9,29,7,18,0,4,0,9,6,0,8,0,41,9,1,2,0,0,1,6,2,2,1,16,20,5,7,70,0,516
 ZB5K809-L, WURNITZ elastic protective trousers dark gray L (52), N, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE TROUSERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,174,165,29,498
 ZB5K732-10,SALZACH Canadian protective gloves (goat leather) graphite 10, N, HAND PROTECTION, GLOVES, LEATHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,78,25,498
